Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Classification
0.01572435,-1.383636972,0.821846244,1.31488676,-0.071768401,2.342293901,3
0.146700263,0.778093839,0.486682165,-0.697205577,0.047063092,0.651647114,2
0.012067396,1.299313485,0.047187367,0.752812333,0.898407894,0.835497323,3
-0.847859735,0.262293904,-0.162009338,1.095406547,0.54986165,1.515246114,3
1.286734609,1.907767457,-0.380350978,-0.14508294,0.111280474,-0.076647068,0
0.026773415,0.536437201,-2.854711306,-1.357090342,0.693491067,-0.505520931,3
1.638428068,0.197035625,0.548478822,1.255012669,0.718824884,1.1649007,3
-1.315467492,-0.094828048,-1.374761427,3.309857128,0.723617342,2.016418663,3
0.620606026,1.296890853,-2.387408117,1.423882116,1.401689282,-1.218831545,3
-0.407514767,1.695989605,1.104123232,-0.699803987,0.43804607,1.502727432,3
1.717218379,-0.265673133,-1.164315655,-0.953167073,1.36111476,0.410663048,3
0.548400067,-1.266857266,0.427626843,-1.112510966,-0.204304003,2.38475721,3
0.604830117,-0.017669069,-0.386255822,3.005293994,1.328523292,1.825277312,3
0.337272018,-0.243435739,-2.814735033,-0.355090812,1.888354505,-0.508972082,3
-0.559612187,-0.478241444,-1.288323047,1.645297367,1.086305011,1.224863402,3
1.079924751,-1.094710588,-1.522201816,1.210128336,0.360490549,2.115070432,3
0.32420962,0.302926633,-0.464443763,0.523240776,0.065666651,-0.250710582,3
-0.237263103,-1.291641544,-0.462901124,3.223314139,-0.956466465,-1.314203659,3
1.248756087,-2.099740433,-0.843594494,0.526268768,1.427098347,-1.100437063,3
0.132392167,0.404749104,-0.480497623,0.412035134,-0.048686894,-0.31571148,2
-0.467443006,-0.306325593,-0.549600409,0.448423209,2.66415524,-1.136508744,3
0.810277967,-1.498006221,-0.295503532,2.551181341,1.617447478,1.370223318,3
-1.961264469,-0.592220798,2.296776162,2.159188863,1.781549038,1.074088226,3
-1.116638202,-0.017729654,-0.1555523,1.416011774,1.952605011,-1.163367397,3
-0.414637653,0.347848452,-0.578275336,3.623217767,0.388661348,4.211301315,3
0.30474136,-1.136999403,1.733709643,-0.558494196,0.688492159,0.303905656,3
-0.747005981,-2.214902133,0.015789856,-1.372524084,1.227465903,-0.725280328,2
1.31820137,2.949204361,0.240303864,2.15412099,-0.380032478,-0.099792339,3
0.622924149,-1.404646784,-1.686722244,0.703247684,1.443776632,-0.515317792,3
0.495699868,0.001170204,-0.263787027,1.782511924,0.019661394,-1.467192173,3
-0.179567633,0.053528406,-0.193441704,-0.866012968,0.955677533,-0.601950815,2
0.571499607,0.573956821,-0.892363697,1.818910801,1.387252714,1.71231598,3
-0.079398208,2.357206206,-0.801854371,0.216346339,0.217319754,0.043764587,2
-0.716767138,0.556950114,0.228784645,-0.692413258,0.86993309,-1.21908405,2
-1.280731695,0.669331552,0.365437892,1.212974172,0.660681025,-0.723890155,3
-0.823786213,-1.615359832,0.045889966,-2.718322133,1.32588329,2.734504391,2
-0.687381301,-0.837136441,-1.038981609,-0.47299831,1.060032756,-1.322770419,3
-1.237519959,-0.616667745,-0.236396373,-0.046467193,1.985007392,-0.696444117,3
-0.624499717,-0.308586357,1.504042509,0.341756715,-0.147048802,0.902837686,3
-0.772467009,1.316790564,-0.559209268,1.015918461,-0.647086588,-0.275002794,3
0.926106437,0.57381822,-0.55061302,-0.71203595,2.068343295,-0.220974376,3
0.329769035,-1.150025254,-0.197299553,1.210961008,0.232151771,2.123030013,3
-0.844543061,0.209727242,0.631443802,-0.370055526,0.311950165,0.232307596,3
0.158798536,1.246992175,-0.367154162,-1.89540282,1.645893387,-1.236560484,2
1.708804807,0.91182769,-0.246436474,0.095776152,0.523626492,0.789140859,3
-0.324520478,1.610529077,-0.793288621,2.066378924,0.096619548,2.739605263,3
1.536747674,1.110850764,0.829244215,0.67015893,0.171492682,-0.638038314,3
-0.007323901,-0.803190796,-0.450999056,1.411241114,-1.312953865,0.100514504,1
0.173260753,-1.032467648,-0.800999344,0.987593989,1.017346946,-0.895969916,3
1.268399992,-0.094874434,-1.705123152,3.476453677,2.3130373,-0.222404845,3
-0.33061901,0.348362757,-1.864195604,0.701872702,1.540077383,-0.305781629,3
-0.6498816,0.470275882,-0.719075791,0.363946716,1.777816759,-0.593356064,3
-0.038000696,0.532674957,0.046680142,1.11952015,0.00881496,-1.115644826,3
-0.105673497,0.532959949,0.47254971,1.448057906,1.279250674,-0.686626881,3
-1.40672049,0.762711539,-1.979608148,0.765807675,0.325527131,-0.019035761,3
0.462540193,-0.495506033,-1.777209559,2.498451991,3.114228538,0.496315334,3
0.021808476,-0.489560051,1.546166242,0.081277609,-0.7949152,1.368908827,1
1.490045676,0.07907536,1.004384805,1.07718291,1.102744963,-0.62523966,3
0.290333764,0.733321003,0.285394766,0.028047419,0.387691647,2.625479897,2
-0.087460337,0.148147278,0.419481707,1.145974951,0.635098916,-0.732303798,3
0.204590233,-1.62224208,-1.75723459,-1.962011114,1.932136042,-0.866098671,2
-0.495505694,-1.39438525,0.661398654,1.705336001,0.223571723,3.145961596,3
-0.114736751,1.471582025,-0.811869872,-0.238392365,0.141525964,1.664519904,3
-0.316988666,0.015651643,-0.38812155,2.335877088,1.647379464,1.359652994,3
-0.663902738,-0.085968953,-0.68014409,1.842051543,0.168432762,2.054409703,3
-0.230200891,-0.033094038,-0.640228808,-0.412972674,0.425081166,-0.338163755,2
3.323157471,0.884409721,0.029472733,0.933921411,-0.499040818,-0.793818836,3
-1.372494295,2.067641626,-0.234851263,0.165860869,1.20353652,-0.775954675,3
1.256583307,-0.588620585,-0.383903948,2.135496932,0.126156312,3.207379487,3
-0.132443921,-1.563191922,-1.022350471,-0.256435773,0.527725038,0.162910389,3
-0.686984,1.634315029,-0.232736624,0.560934907,0.551519271,1.310540203,3
1.612857266,0.775013159,-1.067029963,-1.399717114,-0.114267146,0.250113805,2
0.016061261,-0.090854165,2.133572608,-0.723478779,0.327696727,0.902110338,3
1.227641583,0.597311188,-0.634330829,0.277295306,2.322630502,-0.829168351,3
0.067823976,-1.210382691,0.907054994,-1.998977185,1.877164699,-1.33234196,2
-0.106671412,0.153385719,0.506098316,-0.694179614,2.013002854,-1.567214785,3
0.104345872,0.279055818,-0.569752335,-0.09520065,0.793879827,-0.426601122,3
2.433125531,0.65934534,0.430493823,-1.097177394,-1.992393488,1.616018639,1
0.318659749,0.366829646,-0.725637004,1.020536994,1.090895443,-0.910675506,3
-0.465182963,-0.307068716,-0.946756074,1.060876073,1.842394269,-0.604616438,3
-0.099264616,0.801410794,0.879285305,0.06123509,1.797209052,-0.774155949,3
1.482930706,-0.287900859,0.457457862,1.271152054,0.930000779,1.694868306,3
-2.297113426,-1.2561327,-0.327334198,1.319956615,0.970859032,-0.568926836,3
0.0406602,2.406601371,0.166980456,0.73929665,-0.490803821,-0.65889756,3
-0.961780999,1.44235667,-1.219385508,-0.379425067,1.000342838,0.387259139,3
-0.499758663,0.40010475,-0.206466196,-0.692285561,0.673825652,-1.274475061,2
-0.854699825,0.687433289,0.699920227,1.73830306,-0.406143167,-1.06083311,3
0.94930853,-0.243326521,-1.309058594,1.375591202,-1.775051672,-0.460466827,1
-0.553961999,0.476146431,-2.619465436,0.251089525,1.999645983,-1.104937563,3
0.571145008,-1.286727134,0.774165215,1.707668495,-0.204199826,2.581975839,3
-0.813891296,1.11712145,-0.631355492,0.820011686,1.36435517,-0.67186402,3
0.780588651,1.054002606,0.282593126,2.020986898,0.210927422,-0.903738116,3
-1.309329133,-0.249421872,1.445633785,1.495796353,0.398749465,-1.646138806,3
